X Y Z abs real imag
3 6 0 5.09228 -5.07558 0.412129
3 7 0 4.85554 -4.82565 0.537933
3 8 0 4.85733 -4.80296 0.724772
3 9 0 4.97927 -4.91306 0.809265
3 10 0 5.06971 -5.01163 0.765184
4 -10 0 4.96928 -3.36974 -3.65221
4 -9 0 4.8046 -3.20038 -3.58354
4 -8 0 4.77115 -3.00571 -3.70534
4 -7 0 4.98295 -2.9729 -3.99896
4 -6 0 5.37636 -3.23148 -4.29684
4 -5 0 5.79575 -3.7791 -4.39422
4 -4 0 6.25939 -4.63689 -4.20467
4 -3 0 4.99274 -2.27593 4.44383
4 -2 0 2.43856 -2.40146 -0.423741
4 -1 0 1.90046 -0.0373331 -1.90009
4 1 0 1.90046 -0.0373331 -1.90009
4 2 0 2.43856 -2.40146 -0.423741
4 3 0 4.99274 -2.27593 4.44383
4 4 0 6.25939 -4.63689 -4.20467
4 5 0 5.79575 -3.7791 -4.39422
4 6 0 5.37636 -3.23148 -4.29684
4 7 0 4.98295 -2.9729 -3.99896
4 8 0 4.77115 -3.00571 -3.70534
4 9 0 4.8046 -3.20038 -3.58354
4 10 0 4.96928 -3.36974 -3.65221
5 -10 0 4.80909 1.24434 -4.64531
5 -9 0 4.73818 1.43386 -4.51601
5 -8 0 4.89624 1.69554 -4.59329
5 -7 0 5.21923 1.83472 -4.88612
5 -6 0 5.51959 1.71429 -5.24662
5 -5 0 5.65535 1.36857 -5.48725
5 -4 0 5.65396 0.986464 -5.56724
5 -3 0 5.76909 0.784743 -5.71547
5 -2 0 6.44473 0.897197 -6.38198
5 -1 0 8.11814 1.15153 -8.03606
5 1 0 8.11814 1.15153 -8.03606
5 2 0 6.44473 0.897197 -6.38198
5 3 0 5.76909 0.784743 -5.71547
5 4 0 5.65396 0.986464 -5.56724
5 5 0 5.65535 1.36857 -5.48725
5 6 0 5.51959 1.71429 -5.24662
5 7 0 5.21923 1.83472 -4.88612
5 8 0 4.89624 1.69554 -4.59329
5 9 0 4.73818 1.43386 -4.51601
5 10 0 4.80909 1.24434 -4.64531
6 -10 0 4.73744 4.55531 -1.30094
6 -9 0 4.83077 4.7022 -1.10709
6 -8 0 5.08999 4.9726 -1.08684
6 -7 0 5.34764 5.19155 -1.28259
6 -6 0 5.4539 5.22043 -1.57863
6 -5 0 5.39022 5.08374 -1.79164
6 -4 0 5.30421 4.97864 -1.8297
6 -3 0 5.44795 5.14844 -1.7815
6 -2 0 5.97424 5.6885 -1.82552
6 -1 0 6.68172 6.37523 -2.00045
6 1 0 6.68172 6.37523 -2.00045
6 2 0 5.97424 5.6885 -1.82552
6 3 0 5.44795 5.14844 -1.7815
6 4 0 5.30421 4.97864 -1.8297
6 5 0 5.39022 5.08374 -1.79164
6 6 0 5.4539 5.22043 -1.57863
6 7 0 5.34764 5.19155 -1.28259
6 8 0 5.08999 4.9726 -1.08684
6 9 0 4.83077 4.7022 -1.10709
6 10 0 4.73744 4.55531 -1.30094
7 -10 0 4.79028 3.49888 3.27179
7 -9 0 4.98626 3.55636 3.49501
7 -8 0 5.21664 3.76658 3.60919
7 -7 0 5.33576 3.99048 3.54209
7 -6 0 5.29703 4.08924 3.367
7 -5 0 5.18923 4.04624 3.249
7 -4 0 5.19015 3.99389 3.31458
7 -3 0 5.43381 4.11031 3.5541
7 -2 0 5.88078 4.45209 3.8422
7 -1 0 6.32347 4.85687 4.04933
7 1 0 6.32347 4.85687 4.04933
7 2 0 5.88078 4.45209 3.8422
7 3 0 5.43381 4.11031 3.5541
7 4 0 5.19015 3.99389 3.31458
7 5 0 5.18923 4.04624 3.249
7 6 0 5.29703 4.08924 3.367
7 7 0 5.33576 3.99048 3.54209
7 8 0 5.21664 3.76658 3.60919
7 9 0 4.98626 3.55636 3.49501
7 10 0 4.79028 3.49888 3.27179
8 -10 0 4.90794 -0.948064 4.8155
8 -9 0 5.10911 -0.987324 5.01281
8 -8 0 5.2446 -0.876326 5.17087
8 -7 0 5.24506 -0.709686 5.19683
8 -6 0 5.15258 -0.618552 5.11531
8 -5 0 5.09527 -0.663145 5.05193
8 -4 0 5.19561 -0.785484 5.13589
8 -3 0 5.46919 -0.864429 5.40045
8 -2 0 5.81705 -0.828378 5.75776
8 -1 0 6.1008 -0.724111 6.05767
8 1 0 6.1008 -0.724111 6.05767
8 2 0 5.81705 -0.828378 5.75776
8 3 0 5.46919 -0.864429 5.40045
8 4 0 5.19561 -0.785484 5.13589
8 5 0 5.09527 -0.663145 5.05193
8 6 0 5.15258 -0.618552 5.11531
8 7 0 5.24506 -0.709686 5.19683
8 8 0 5.2446 -0.876326 5.17087
8 9 0 5.10911 -0.987324 5.01281
8 10 0 4.90794 -0.948064 4.8155
9 -10 0 5.02033 -4.66315 1.85979
9 -9 0 5.16438 -4.76645 1.98792
9 -8 0 5.20296 -4.74611 2.13195
9 -7 0 5.13988 -4.64928 2.19148
9 -6 0 5.06217 -4.58531 2.14487
9 -5 0 5.0792 -4.64063 2.06466
9 -4 0 5.23863 -4.81725 2.05848
9 -3 0 5.49439 -5.04156 2.18427
9 -2 0 5.75441 -5.22769 2.40509
9 -1 0 5.93992 -5.33442 2.61277
9 1 0 5.93992 -5.33442 2.61277
9 2 0 5.75441 -5.22769 2.40509
9 3 0 5.49439 -5.04156 2.18427
9 4 0 5.23863 -4.81725 2.05848
9 5 0 5.0792 -4.64063 2.06466
9 6 0 5.06217 -4.58531 2.14487
9 7 0 5.13988 -4.64928 2.19148
9 8 0 5.20296 -4.74611 2.13195
9 9 0 5.16438 -4.76645 1.98792
9 10 0 5.02033 -4.66315 1.85979
10 -10 0 5.09107 -4.17755 -2.90982
10 -9 0 5.1606 -4.29541 -2.86029
10 -8 0 5.13234 -4.32662 -2.76067
10 -7 0 5.05678 -4.27343 -2.70349
10 -6 0 5.02498 -4.20947 -2.74423
10 -5 0 5.10246 -4.22292 -2.86391
10 -4 0 5.28243 -4.35442 -2.9905
10 -3 0 5.50191 -4.57453 -3.05689
10 -2 0 5.69348 -4.80883 -3.0481
10 -1 0 5.81718 -4.98155 -3.00395
10 1 0 5.81718 -4.98155 -3.00395
10 2 0 5.69348 -4.80883 -3.0481
10 3 0 5.50191 -4.57453 -3.05689
10 4 0 5.28243 -4.35442 -2.9905
10 5 0 5.10246 -4.22292 -2.86391
10 6 0 5.02498 -4.20947 -2.74423
10 7 0 5.05678 -4.27343 -2.70349
10 8 0 5.13234 -4.32662 -2.76067
10 9 0 5.1606 -4.29541 -2.86029
10 10 0 5.09107 -4.17755 -2.90982
